id,vertices_json,status
Zone-4-4,"[[45.15985932611365, 10.78748401237661], [45.15985932611365, 10.787536988906155], [45.15994915764206, 10.787536988906155], [45.15994915764206, 10.787409591124923], [45.15990273851046, 10.787409591124923], [45.15985932611365, 10.78748401237661]]",0
Zone-4-5,"[[45.15985932611365, 10.787536988906155], [45.15985932611365, 10.787664386687386], [45.15994915764206, 10.787664386687386], [45.15994915764206, 10.787536988906155], [45.15985932611365, 10.787536988906155]]",0
Zone-4-6,"[[45.15985932611365, 10.787664386687386], [45.15985932611365, 10.787791784468617], [45.15994915764206, 10.787791784468617], [45.15994915764206, 10.787664386687386], [45.15985932611365, 10.787664386687386]]",0
Zone-4-7,"[[45.15985932611365, 10.787791784468617], [45.15985932611365, 10.787919182249848], [45.15994915764206, 10.787919182249848], [45.15994915764206, 10.787791784468617], [45.15985932611365, 10.787791784468617]]",0
Zone-4-8,"[[45.15985932611365, 10.787919182249848], [45.15985932611365, 10.788046580031079], [45.15994915764206, 10.788046580031079], [45.15994915764206, 10.787919182249848], [45.15985932611365, 10.787919182249848]]",0
Zone-4-9,"[[45.15985932611365, 10.788046580031079], [45.15985932611365, 10.78817397781231], [45.15994915764206, 10.78817397781231], [45.15994915764206, 10.788046580031079], [45.15985932611365, 10.788046580031079]]",0
Zone-4-10,"[[45.15985932611365, 10.78817397781231], [45.15985932611365, 10.78830137559354], [45.15994915764206, 10.78830137559354], [45.15994915764206, 10.78817397781231], [45.15985932611365, 10.78817397781231]]",0
Zone-4-11,"[[45.15994915764206, 10.788399438428039], [45.15994915764206, 10.78830137559354], [45.15985932611365, 10.78830137559354], [45.15985932611365, 10.78833955074243], [45.15994915764206, 10.788399438428039]]",0
Zone-5-2,"[[45.15997705388285, 10.787282193343692], [45.160038989170474, 10.787282193343692], [45.160038989170474, 10.787176018564907], [45.15997705388285, 10.787282193343692]]",0
Zone-5-3,"[[45.15994915764206, 10.787330015470758], [45.15994915764206, 10.787409591124923], [45.160038989170474, 10.787409591124923], [45.160038989170474, 10.787282193343692], [45.15997705388285, 10.787282193343692], [45.15994915764206, 10.787330015470758]]",0
Zone-5-4,"[[45.15994915764206, 10.787409591124923], [45.15994915764206, 10.787536988906155], [45.160038989170474, 10.787536988906155], [45.160038989170474, 10.787409591124923], [45.15994915764206, 10.787409591124923]]",0
Zone-5-5,"[[45.15994915764206, 10.787536988906155], [45.15994915764206, 10.787664386687386], [45.160038989170474, 10.787664386687386], [45.160038989170474, 10.787536988906155], [45.15994915764206, 10.787536988906155]]",0
Zone-5-6,"[[45.15994915764206, 10.787664386687386], [45.15994915764206, 10.787791784468617], [45.160038989170474, 10.787791784468617], [45.160038989170474, 10.787664386687386], [45.15994915764206, 10.787664386687386]]",0
Zone-5-7,"[[45.15994915764206, 10.787791784468617], [45.15994915764206, 10.787919182249848], [45.160038989170474, 10.787919182249848], [45.160038989170474, 10.787791784468617], [45.15994915764206, 10.787791784468617]]",0
Zone-5-8,"[[45.15994915764206, 10.787919182249848], [45.15994915764206, 10.788046580031079], [45.160038989170474, 10.788046580031079], [45.160038989170474, 10.787919182249848], [45.15994915764206, 10.787919182249848]]",0
Zone-5-9,"[[45.15994915764206, 10.788046580031079], [45.15994915764206, 10.78817397781231], [45.160038989170474, 10.78817397781231], [45.160038989170474, 10.788046580031079], [45.15994915764206, 10.788046580031079]]",0
Zone-5-10,"[[45.15994915764206, 10.78817397781231], [45.15994915764206, 10.78830137559354], [45.160038989170474, 10.78830137559354], [45.160038989170474, 10.78817397781231], [45.15994915764206, 10.78817397781231]]",0
Zone-5-11,"[[45.15999316006216, 10.788428773374772], [45.160038989170474, 10.788428773374772], [45.160038989170474, 10.78830137559354], [45.15994915764206, 10.78830137559354], [45.15994915764206, 10.788399438428039], [45.15999316006216, 10.788428773374772]]",0
Zone-5-12,"[[45.160038989170474, 10.788459326113648], [45.160038989170474, 10.788428773374772], [45.15999316006216, 10.788428773374772], [45.160038989170474, 10.788459326113648]]",0
Zone-6-1,"[[45.160051369255235, 10.787154795562461], [45.16012882069889, 10.787154795562461], [45.16012882069889, 10.78702739778123], [45.160125684627616, 10.78702739778123], [45.160051369255235, 10.787154795562461]]",0
Zone-6-2,"[[45.160038989170474, 10.787176018564907], [45.160038989170474, 10.787282193343692], [45.16012882069889, 10.787282193343692], [45.16012882069889, 10.787154795562461], [45.160051369255235, 10.787154795562461], [45.160038989170474, 10.787176018564907]]",0
Zone-6-3,"[[45.160038989170474, 10.787282193343692], [45.160038989170474, 10.787409591124923], [45.16012882069889, 10.787409591124923], [45.16012882069889, 10.787282193343692], [45.160038989170474, 10.787282193343692]]",0
Zone-6-4,"[[45.160038989170474, 10.787409591124923], [45.160038989170474, 10.787536988906155], [45.16012882069889, 10.787536988906155], [45.16012882069889, 10.787409591124923], [45.160038989170474, 10.787409591124923]]",0
Zone-6-5,"[[45.160038989170474, 10.787536988906155], [45.160038989170474, 10.787664386687386], [45.16012882069889, 10.787664386687386], [45.16012882069889, 10.787536988906155], [45.160038989170474, 10.787536988906155]]",0
Zone-6-6,"[[45.160038989170474, 10.787664386687386], [45.160038989170474, 10.787791784468617], [45.16012882069889, 10.787791784468617], [45.16012882069889, 10.787664386687386], [45.160038989170474, 10.787664386687386]]",0
Zone-6-7,"[[45.160038989170474, 10.787791784468617], [45.160038989170474, 10.787919182249848], [45.16012882069889, 10.787919182249848], [45.16012882069889, 10.787791784468617], [45.160038989170474, 10.787791784468617]]",0
Zone-6-8,"[[45.160038989170474, 10.787919182249848], [45.160038989170474, 10.788046580031079], [45.16012882069889, 10.788046580031079], [45.16012882069889, 10.787919182249848], [45.160038989170474, 10.787919182249848]]",0
