id,vertices_json,status
Zone-1-3,"[[45.15628983152841, 10.790942358602257], [45.15628983152841, 10.791009558929801], [45.156379663056825, 10.791009558929801], [45.156379663056825, 10.790882169197351], [45.15629413077162, 10.790882169197351], [45.15628983152841, 10.790942358602257]]",0
Zone-1-4,"[[45.15628983152841, 10.791009558929801], [45.15628983152841, 10.791136948662253], [45.156379663056825, 10.791136948662253], [45.156379663056825, 10.791009558929801], [45.15628983152841, 10.791009558929801]]",0
Zone-1-5,"[[45.15628983152841, 10.791136948662253], [45.15628983152841, 10.791264338394702], [45.156379663056825, 10.791264338394702], [45.156379663056825, 10.791136948662253], [45.15628983152841, 10.791136948662253]]",0
Zone-1-6,"[[45.15628983152841, 10.791264338394702], [45.15628983152841, 10.791391728127152], [45.156379663056825, 10.791391728127152], [45.156379663056825, 10.791264338394702], [45.15628983152841, 10.791264338394702]]",0
Zone-1-7,"[[45.15628983152841, 10.791391728127152], [45.15628983152841, 10.791519117859604], [45.156379663056825, 10.791519117859604], [45.156379663056825, 10.791391728127152], [45.15628983152841, 10.791391728127152]]",0
Zone-1-8,"[[45.15628983152841, 10.791519117859604], [45.15628983152841, 10.791646507592054], [45.156379663056825, 10.791646507592054], [45.156379663056825, 10.791519117859604], [45.15628983152841, 10.791519117859604]]",0
Zone-1-9,"[[45.15628983152841, 10.791646507592054], [45.15628983152841, 10.791773897324505], [45.156379663056825, 10.791773897324505], [45.156379663056825, 10.791646507592054], [45.15628983152841, 10.791646507592054]]",0
Zone-1-10,"[[45.15628983152841, 10.791773897324505], [45.15628983152841, 10.791901287056955], [45.156379663056825, 10.791901287056955], [45.156379663056825, 10.791773897324505], [45.15628983152841, 10.791773897324505]]",0
Zone-1-11,"[[45.15628983152841, 10.791901287056955], [45.15628983152841, 10.792028676789405], [45.156379663056825, 10.792028676789405], [45.156379663056825, 10.791901287056955], [45.15628983152841, 10.791901287056955]]",0
Zone-1-12,"[[45.15628983152841, 10.792028676789405], [45.15628983152841, 10.792156066521857], [45.156379663056825, 10.792156066521857], [45.156379663056825, 10.792028676789405], [45.15628983152841, 10.792028676789405]]",0
Zone-1-13,"[[45.156379663056825, 10.792259887685608], [45.156379663056825, 10.792156066521857], [45.15628983152841, 10.792156066521857], [45.15628983152841, 10.792229943842804], [45.156379663056825, 10.792259887685608]]",0
Zone-2-1,"[[45.1564055145819, 10.790754779464901], [45.15646949458523, 10.790754779464901], [45.15646949458523, 10.790727359463473], [45.1564055145819, 10.790754779464901]]",0
Zone-2-2,"[[45.156379663056825, 10.790765858689934], [45.156379663056825, 10.790882169197351], [45.15646949458523, 10.790882169197351], [45.15646949458523, 10.790754779464901], [45.1564055145819, 10.790754779464901], [45.156379663056825, 10.790765858689934]]",0
Zone-2-3,"[[45.156379663056825, 10.790882169197351], [45.156379663056825, 10.791009558929801], [45.15646949458523, 10.791009558929801], [45.15646949458523, 10.790882169197351], [45.156379663056825, 10.790882169197351]]",0
Zone-2-4,"[[45.156379663056825, 10.791009558929801], [45.156379663056825, 10.791136948662253], [45.15646949458523, 10.791136948662253], [45.15646949458523, 10.791009558929801], [45.156379663056825, 10.791009558929801]]",0
Zone-2-5,"[[45.156379663056825, 10.791136948662253], [45.156379663056825, 10.791264338394702], [45.15646949458523, 10.791264338394702], [45.15646949458523, 10.791136948662253], [45.156379663056825, 10.791136948662253]]",0
Zone-2-6,"[[45.156379663056825, 10.791264338394702], [45.156379663056825, 10.791391728127152], [45.15646949458523, 10.791391728127152], [45.15646949458523, 10.791264338394702], [45.156379663056825, 10.791264338394702]]",0
Zone-2-7,"[[45.156379663056825, 10.791391728127152], [45.156379663056825, 10.791519117859604], [45.15646949458523, 10.791519117859604], [45.15646949458523, 10.791391728127152], [45.156379663056825, 10.791391728127152]]",0
Zone-2-8,"[[45.156379663056825, 10.791519117859604], [45.156379663056825, 10.791646507592054], [45.15646949458523, 10.791646507592054], [45.15646949458523, 10.791519117859604], [45.156379663056825, 10.791519117859604]]",0
Zone-2-9,"[[45.156379663056825, 10.791646507592054], [45.156379663056825, 10.791773897324505], [45.15646949458523, 10.791773897324505], [45.15646949458523, 10.791646507592054], [45.156379663056825, 10.791646507592054]]",0
Zone-2-10,"[[45.156379663056825, 10.791773897324505], [45.156379663056825, 10.791901287056955], [45.15646949458523, 10.791901287056955], [45.15646949458523, 10.791773897324505], [45.156379663056825, 10.791773897324505]]",0
